name,roast,loc_country,origin_1,origin_2,X100g_USD,rating,review_date
Ignacio Quintero Colombia,Medium-Light,United States,Inza,Cauca Department,5.29,95,20-Jun
Chiapas Chimhucum Semi-Washed,Medium-Light,United States,Los Altos,Chiapas State,3.74,93,22-Sep
Finca Sophia Gesha Washed,Medium-Light,United States,Nueva Suiza,Chiriquí,44.09,98,20-Nov
Mini-Me Washed Kaffa Forest,Medium-Dark,Taiwan,Yirgacheffe Growing Region,Southern Ethiopia,9.2,95,18-Jan
Zambia Mafinga Hills Natural,Medium-Light,United States,Northern Province,Zambia,4.12,92,22-Jun
Glory Days,Medium,United States,Peru,Santa Elena Province,5.88,92,21-Aug
Burundi Mikuba Honey Microlot 1,Light,United States,Kayanza State,Burundi,6.61,93,21-Jun
Yellow Caturra (special lot),Medium-Light,Hawai'i,Ka’U Growing Region,Big Island Of Hawai’I,13.23,94,20-Sep
Ethiopia Yirgacheffe Cleopatra Natural,Medium-Light,Taiwan,Yirgacheffe Growing Region,Southern Ethiopia,9.6,94,21-Jan
Kona Medium-Dark Roast,Medium,Hawai'i,Holualoa,North Kona,10.29,90,21-Oct
Costa Rica Canet Musician Mozart,Medium-Light,Taiwan,Tarrazu Growing Region,Costa Rica,9.04,92,22-Oct
Kenya Rugeto Peaberry,Medium,United States,Kirinyaga District,South-Central Kenya,5.88,93,18-Dec
Colombia Finca Santa Maria,Medium-Light,United States,Aratoca,Santander Department,5.29,95,21-Jul
Colombia La Estrella Carbonic Maceration,Medium-Light,United States,Huila Department,Colombia,8.23,93,21-Nov
Ethiopia Gugi,Medium-Light,United States,Guji Zone,Southern Ethiopia,4.7,93,18-Dec
Kebele Village Ethiopia,Medium-Light,United States,Yirgacheffe Growing Region,Southern Ethiopia,5.03,93,19-Sep
Rwanda Nyarusiza Station,Medium-Light,United States,Nyamagabe District,Southern Province,3.53,93,19-Aug
Ethiopia Raro Boda,Medium-Light,United States,Guji Zone,Oromia Region,6.47,94,22-Jul
Ulos Batak Sumatra,Medium-Light,United States,Northern Sumatra,Indonesia,5.57,96,17-Dec
Colombia Java El Eden,Medium-Light,United States,Tolima Department,Colombia,5.86,94,21-Nov
Kenya SHI,Medium-Light,Taiwan,Nyeri Growing Region,South-Central Kenya,4.16,93,21-Sep
Kenya Muranga Gondo,Medium-Light,United States,Murang'A County,Central Kenya,6.17,93,18-Aug
Sumatra Gayo King Mandheling,Medium,Taiwan,Gayo (Also Aceh) Growing Region,Aceh Province,8.38,93,19-Apr
Memory Lane,Medium-Light,United States,Brazil,Guatemala,5.88,92,21-Mar
Rwanda Sholi,Medium-Light,United States,Muhanga District,Southern Province,4.7,92,21-Apr
Kenya Chania Estate,Medium,United States,Thika Growing Region,Central Kenya,6.76,92,19-Aug
Brazil Sítio Ponte Fazenda Ponte,Medium-Light,United States,Chapada Diamantina Region,Bahia State,8.23,93,22-May
Ethiopia Natural Sidama TAMIRU 74158,Medium-Light,Taiwan,Sidama Growing Region,Southern Ethiopia,11.33,96,22-Jan
Ethiopia Sidamo Yirgalem,Medium-Light,United States,Sidamo Growing Region,Southern Ethiopia,5.73,92,22-Jun
Bekele Heto Natural Ethiopia,Medium-Light,United States,Worka-Sakaro,Gedeb District,5.58,95,21-Nov
Ethiopia Dumerso,Medium-Light,Taiwan,Yirgacheffe Growing Region,Southern Ethiopia,8.5,93,18-Jun
Ethiopia Quantit,Medium-Light,United States,Sidama (Also Sidamo) Growing Region,Southern Ethiopia,6.03,92,21-Mar
Peru Buena Vista Valerio Almanza Ccahua,Medium-Light,United States,Cusco,Peru,11.9,94,21-Mar
Ethiopia Anasora Extended Natural Special Lot,Medium-Light,Taiwan,Guji Zone,Oromia Region,14.08,94,22-Jul
Natural Sidamo Twakok G1,Light,Taiwan,Sidamo (Also Sidama) Growing Region,South-Central Ethiopia,3.68,94,18-Aug
